Brewery_Name,Overall_review,Aroma_review,Appearance_review,Beer_type,Review_taste,Beer_name,Beer_abv
Mattingly Brewing Company,4,4.5,5,American Double / Imperial IPA,4.5,Dead Flowers,8
McMenamins Queen Anne Hill,4,4,4.5,Russian Imperial Stout,4,Russian Imperial Stout,
Founders Brewing Company,4.5,4.5,3,American Double / Imperial IPA,4,Founders Hand Of Doom,10.4
Cornelius Pass Roadhouse & Imbrie Hall (McMenamins),4,4,4,American Black Ale,4,Dark Star,8.1
Cornelius Pass Roadhouse & Imbrie Hall (McMenamins),5,4,4.5,American Double / Imperial IPA,4.5,Rose City Till I Die'PA,
Haymarket Pub & Brewery,4.5,4,4,American Double / Imperial IPA,4,The Alarm Double American IPA,8.5
Haymarket Pub & Brewery,4,4.5,3.5,American Double / Imperial Stout,4.5,Clare's Thirsty Ale,12.5
Haymarket Pub & Brewery,4.5,4,4,Belgian IPA,4,Dynamite & Roses,7
Haymarket Pub & Brewery,4,4.5,4,American Double / Imperial IPA,4,Agitator Double IPA,8
Haymarket Pub & Brewery,4.5,4.5,4,American Double / Imperial IPA,4,Anarchy,8.5
Haymarket Pub & Brewery,4,4,4,American Double / Imperial IPA,3.5,Allocution,7
Haymarket Pub & Brewery,4,3.5,4.5,American Double / Imperial IPA,4,Ombibulous Double IPA,7
Haymarket Pub & Brewery,4.5,5,4.5,American Double / Imperial Stout,4.5,Steve It To Bieber,12.5
Haymarket Pub & Brewery,5,5,4.5,American Double / Imperial IPA,5,Mathias Imperial IPA,10
Haymarket Pub & Brewery,4,4,3.5,American Double / Imperial IPA,4,Mathias Jr.,8
Haymarket Pub & Brewery,4,3.5,4,American Barleywine,3.5,Clare's Right Hook - Cocoa Nibs,13
Haymarket Pub & Brewery,4.5,4.5,4,American Double / Imperial Stout,4.5,Indignant Bourbon Imperial Stout,12.5
Haymarket Pub & Brewery,4,4,4.5,Belgian IPA,4,Black Betsy Imperial Black Belgian IPA,10
Haymarket Pub & Brewery,4,4,4,Belgian IPA,4,Fruitier Angrier Birds American Belgo Rye IPA,10
Haymarket Pub & Brewery,4.5,4.5,4,American Barleywine,4.5,Clare's Right Hook - Lemon Zest,13
Haymarket Pub & Brewery,4,3.5,4,Belgian IPA,3.5,Loathing Belgian IPA,8
Haymarket Pub & Brewery,4,4,4,Belgian IPA,4,Angrier Birds Imperial Belgian Rye IPA,10
Haymarket Pub & Brewery,4,3.5,4,American Double / Imperial Stout,4,The Defender Double American Stout,9
Haymarket Pub & Brewery,4,4,4,American Barleywine,4.5,Clare's Right Hook,12.5
Haymarket Pub & Brewery,4.5,4.5,4.5,American Double / Imperial Stout,4,Uber Mathias,10
Haymarket Pub & Brewery,4,4.5,4,Belgian IPA,3.5,Hogbutcher Belgian IPA,7.5
The Vermont Pub & Brewery,4,4,4,American Double / Imperial IPA,4,Lupé,8
Black Forest Brew Haus & Grill,4.5,4,4.5,Quadrupel (Quad),4.5,The Lost Fugawi Ale,12.8
Black Forest Brew Haus & Grill,4,3.5,3,Russian Imperial Stout,4,Speedway Imperial Stout,9
Black Forest Brew Haus & Grill,4,4,4.5,American Black Ale,4.5,Onyx IPA,
Cambridge Brewing Company,4.5,4.5,4,American Wild Ale,5,Pisser Mauvais,7
Cambridge Brewing Company,5,4.5,5,Baltic Porter,5,Bourbon Barrel Aged Porter,6
Cambridge Brewing Company,4.5,4.5,4.5,American Wild Ale,4.5,Benevolence,12.6
Cambridge Brewing Company,4,4.5,4,Flanders Red Ale,3.5,Up On Cripple Kriek,6
Cambridge Brewing Company,4.5,5,3,American Barleywine,5,"2009 Arquebus, Ch. Boswell Barrel Finish With Brett",11
Cambridge Brewing Company,4.5,4.5,4,Belgian IPA,4.5,Aces High,
Cambridge Brewing Company,4,4,4,Belgian IPA,4.5,The Audacity Of Hops,8
Cambridge Brewing Company,4.5,4.5,4,American Barleywine,4.5,Sherry Cask Blunderbuss,11
Cambridge Brewing Company,4,4,4,Belgian IPA,3.5,Able I.P.A.,7
Cambridge Brewing Company,4,4,4,American Wild Ale,3.5,Creaky Bus,
Cambridge Brewing Company,4,5,4.5,Baltic Porter,4.5,The Colonel's Porter (Cask Primed With English Treacle),7.4
Cambridge Brewing Company,5,4.5,4.5,American Double / Imperial IPA,4.5,Red God IPA,9
Cambridge Brewing Company,4.5,4.5,4,American Wild Ale,4.5,Rose De Cambrinus,10
Cambridge Brewing Company,4.5,4.5,4,American Wild Ale,4.5,Cerise Cassée American Sour Ale,7.75
Cambridge Brewing Company,4.5,4,4.5,American Wild Ale,4,Double Happiness,10.4
Cambridge Brewing Company,5,4.5,4,Lambic - Unblended,4.5,Honey Badger,10
Cambridge Brewing Company,4,4,4,Baltic Porter,4,The Colonel's Porter,7.3
Founders Brewing Company,4.5,4.5,4.5,American Double / Imperial Stout,4.5,Founders CBS Imperial Stout,10.6
Founders Brewing Company,4,4,5,American Double / Imperial IPA,4,Founders Devil Dancer,12
Founders Brewing Company,4,4.5,4,American Double / Imperial IPA,4,Founders Triple D,
Founders Brewing Company,4,3.5,4,Russian Imperial Stout,4,Founders Imperial Stout,10.5
Founders Brewing Company,4,4.5,4,American Barleywine,4.5,Founders Nemesis 2010,12
Founders Brewing Company,4,4.5,4,American Black Ale,4,Founders Session Noir,4.9
Founders Brewing Company,4,4,4,American Double / Imperial IPA,4,Founders Looking Glass,11.1
Founders Brewing Company,4,4.5,4,American Black Ale,4.5,Founders El Diablo Del Noche,8.1
Founders Brewing Company,4,4.5,4,American Double / Imperial IPA,4.5,Founders 10K IPA,9.1
Founders Brewing Company,4,3.5,4.5,American Black Ale,4,Founders Bourbon Del Noche,7.5
Founders Brewing Company,4.5,4.5,4,American Double / Imperial IPA,4.5,Founders Imperial IPA,9.9
Founders Brewing Company,4,4,4,American Double / Imperial IPA,4,Founders All Night Long DIPA,9.5
Founders Brewing Company,4,4,4.5,American Double / Imperial Stout,4.5,Founders Barrel Aged Imperial Stout,10
Founders Brewing Company,4,4,4,American Barleywine,4.5,Founders Deca 10th Anniversary,13
Founders Brewing Company,5,5,5,American Black Ale,5,Founders Syrup Del Noche,7.5
Founders Brewing Company,4.5,4,4,American Black Ale,4.5,Founders Berserker 37,7.1
Founders Brewing Company,4,4.5,3.5,American Double / Imperial IPA,4.5,Founders SZRP Of Doom,11
Founders Brewing Company,4,3,4,American Black Ale,4.5,Founders Black IPA,6.6
Founders Brewing Company,5,4.5,4.5,American Double / Imperial Stout,5,Founders Imperial Breakfast Stout,9.3
Browar Okocim S.A. (Carlsberg),4,4,4,Baltic Porter,4.5,Okocim Porter,8.1
O'Fallon Brewery,4.5,4.5,3.5,American Black Ale,4,O'Fallon Midnight Harvest,6
O'so Brewing Company,4,4,4,American Double / Imperial IPA,4,Lupulin Maximus Imperial IPA,9
Cucapá Brewing Company,4.5,3,2.5,American Barleywine,4,Cucapá Tequila Barrel Aged Ale,10
Cucapá Brewing Company,4,3.5,4,American Barleywine,4,Green Card Barleywine,10
Taps Brewing Co. Inc.,4,4.5,4.5,Belgian IPA,4,Taps Belgian IPA,7.5
McCann's Food & Brew,4,4,3.5,American Black Ale,4,Devil's Dream,
Sierra Nevada Brewing Co.,4,4,4,Weizenbock,4,Weizenbock - Beer Camp #37,6.6
"Plzensky Prazdroj, a. s.",4,3.5,4,Baltic Porter,4.5,Master Tmavý 18°,7
Brasserie Dunham,4,4,4,Belgian IPA,4,IPA Belge,6.5
Jupiter,4.5,4.5,4.5,American Double / Imperial IPA,4.5,Quasar Double IPA,8.5
"Stone Iwamoto Co., Ltd / Hakusekikan Beer Restaurant BACCHUS",4.5,2.5,3.5,Lambic - Unblended,4.5,Hakusekikan Shizen Bakushu,5.5
Cannon Brew Pub,4.5,4,4.5,Russian Imperial Stout,4,Ironworks Imperial Stout,8
Solvang Brewing Company,4,3.5,4,American Black Ale,4,Helheim Black India Pale Ale,7.9
Hereford & Hops Restaurant & Brewpub,4.5,3,4,American Double / Imperial Stout,4,Black Springs Double Stout,
Mornington Peninsula Brewery,4,3.5,4,American Double / Imperial IPA,4,Mornington Peninsula Imperial IPA,8.5
Stoudts Brewing Co.,4,4.5,4.5,American Double / Imperial Stout,4,Stoudt's Barrel Aged  Fat Dog (Imperial Oatmeal Stout),9
Stoudts Brewing Co.,4,4,4,American Double / Imperial IPA,4,Stoudt's Double IPA (India Pale Ale),10
Stoudts Brewing Co.,4,5,4.5,American Double / Imperial Stout,4.5,Stoudt's Fat Dog (Imperial Oatmeal Stout),9
"Stone Iwamoto Co., Ltd / Hakusekikan Beer Restaurant BACCHUS",4,4,4,American Barleywine,4,Hakusekikan Hurricane,15
"Stone Iwamoto Co., Ltd / Hakusekikan Beer Restaurant BACCHUS",4.5,4.5,4,American Barleywine,4.5,Hakusekikan Super Vintage,14.3
Snowgoose Restaurant & Pub / Sleeping Lady Brewing Company,4.5,4.5,4,Belgian IPA,4.5,Belgian IPA,7.5
Snowgoose Restaurant & Pub / Sleeping Lady Brewing Company,4.5,4,4,American Double / Imperial IPA,4,Leviathan Double IPA,8.5
Snowgoose Restaurant & Pub / Sleeping Lady Brewing Company,5,5,5,American Barleywine,5,Old Gander Barley Wine,9.5
Sierra Nevada Brewing Co.,4,4,3.5,American Black Ale,4,Juniper Black Ale (JBA) - Beer Camp #16,8
Heineken Nederland B.V.,4,4,4,Foreign / Export Stout,4,Van Vollenhoven's Stout,7
Coastal Extreme Brewing Co.,4,3.5,3.5,American Double / Imperial IPA,4,Newport Storm - Chloe (Cyclone Series),8.6
Heineken Nederland B.V.,4,4,3.5,Weizenbock,3.5,Heineken Tarwebok,6.5
Tenaya Creek Brewery,4,3.5,4.5,American Barleywine,4,Old Jackalope,10.4
Tenaya Creek Brewery,4,4,4,American Barleywine,4.5,Tenaya Creek Winter Solstice Barleywine,9.2
Tenaya Creek Brewery,4,3,2,American Barleywine,4,Barleywine #8,9
Tenaya Creek Brewery,4,4,4,American Double / Imperial IPA,4,Tenaya Creek Monsoon,8.5
Coastal Extreme Brewing Co.,4.5,4,4.5,American Double / Imperial Stout,4,Newport Storm - Derek (Cyclone Series),8.7
Coastal Extreme Brewing Co.,4,3.5,4.5,American Black Ale,4,Newport Storm '10,12
Coastal Extreme Brewing Co.,4.5,4.5,4,American Barleywine,4.5,Newport Storm '00,11.5
Coastal Extreme Brewing Co.,4.5,4,4,American Barleywine,4,Newport Storm '01,12.5
Outer Banks Brewing Station,4.5,3.5,3.5,American Barleywine,4.5,Sledgehammer,11.5
Outer Banks Brewing Station,4,3,4,Weizenbock,4,Weizenheimer Weizenbock,8.3
Almond '22,4,3.5,4.5,Belgian IPA,4,Birrolo,5.6
Browar Kormoran,4.5,3.5,4.5,Baltic Porter,4.5,Porter Warmiński,9
Alcatraz Brewing Co.,4,4,4,American Double / Imperial Stout,4,Dark Tsar Imperial Stout,9.5
The Bruery,5,4.5,4.5,Belgian IPA,4.5,Humulus Gold,9
The Bruery,4,4,4,Flanders Red Ale,3.5,Gypsy Tart,6.5
The Bruery,4.5,4.5,4,Gueuze,4,Batch 50: Grand Funk Ale Road,5.8
The Bruery,4,4.5,3.5,American Wild Ale,4,Collaboration Series: ISO:FT,9
The Bruery,4.5,5,4,American Double / Imperial Stout,5,Grey Monday,19.5
The Bruery,4,3.5,3.5,American Wild Ale,4,Carmen With Kiwi,7
The Bruery,4.5,4.5,4.5,American Wild Ale,4.5,BeRazzled,5
Three Heads Brewing,5,3.5,3.5,American Black Ale,4,Skunk Black IPA,6.5
The Bruery,4,4,4,American Barleywine,3.5,Nano Series: Hops & Dreams,9
The Bruery,4,4,3.5,American Wild Ale,4,Sour In The Rye,8.7
The Bruery,4.5,3.5,4,American Wild Ale,4.5,Bottleworks XII,8
The Bruery,4,4.5,3,American Wild Ale,4.5,Oude Tart With Sour Cherries,7.5
The Bruery,4,3.5,4,Quadrupel (Quad),4.5,Partridge In A Pear Tree,11
The Bruery,4.5,4.5,5,American Double / Imperial Stout,4.5,S'more Tuesday,18.3
The Bruery,4.5,4,4,American Wild Ale,4,The Wanderer,8
The Bruery,4,3.5,3.5,American Double / Imperial Stout,4.5,Peanut Butter & Bals,18.3
The Bruery,4,4.5,4,American Wild Ale,4,Provisions Series: Tart Of Darkness,5.6
The Bruery,5,5,5,American Double / Imperial Stout,5,Chocolate Rain,18.5
The Bruery,5,4,5,American Wild Ale,4.5,White Zin,7.5
The Bruery,4,3,3,American Wild Ale,3.5,Vitis Series: Pinotlambicus,8.4
The Bruery,4,3.5,3.5,American Wild Ale,3.5,Melange No. 7,
The Bruery,4.5,4,3,American Wild Ale,4,Carmen With Guava Fruit,
The Bruery,4.5,4,4,Flanders Red Ale,4,Oude Tart,7.5
The Bruery,4.5,4.5,4.5,American Wild Ale,4,Nano Series: Bert Zuurman,9
The Bruery,4,4,4,American Barleywine,4,Provisions Series: Old Richland,9
The Bruery,4,3.5,3.5,American Wild Ale,3.5,Cuvee Jeune,6
The Bruery,4.5,4,4,American Wild Ale,4.5,Beachwood BBQ 5th Anniversary Beer,
The Bruery,4,3.5,4,Flanders Red Ale,4.5,Beachwood 4th Anniversary Blend,
The Bruery,5,4.5,4,American Wild Ale,5,Melange No. 2 (Yambic),
The Bruery,4,4,4,American Barleywine,4.5,Toddy Barleywine,
Alley Kat Brewing Company,5,4.5,4.5,American Barleywine,4.5,Olde Deuteronomy,11
Alley Kat Brewing Company,4,4.5,4.5,American Double / Imperial IPA,4,Sherbrooke Bad Hare Day,7.8
Alley Kat Brewing Company,4,4,4,American Double / Imperial Stout,4,KGB,10
Flying Fish Brewing Company,4,4,4,American Double / Imperial IPA,4,Exit 16,8.2
Flying Fish Brewing Company,4,4,4,Foreign / Export Stout,3.5,Exit 1,7
Odd Side Ales,4.5,4,4,American Wild Ale,4,Sour Baltic Porter,8
Odd Side Ales,4,4,4,Flanders Red Ale,4.5,Pucker Up!,5.5
Odd Side Ales,4,4.5,3.5,Flanders Red Ale,4,Flanders Sour Red,5.5
C.B. & Potts,4,4,4.5,American Double / Imperial IPA,4,Elephant IPA,8
Jamesport Brewing Company Inc.,4,3.5,3,Weizenbock,4,Jamesport Weizenbock,6.5
Sierra Nevada Brewing Co.,4,4,4,American Double / Imperial IPA,4,Hop Secret 393 - Beer Camp #3,7
Sierra Nevada Brewing Co.,4,4.5,4,American Double / Imperial Stout,4.5,Empire Strikes Black - Bourbon Barrel Aged,9.8
Sierra Nevada Brewing Co.,4.5,4.5,4.5,American Double / Imperial IPA,4.5,Chico IPA,7.3
Sierra Nevada Brewing Co.,4,4,3.5,Weizenbock,3.5,Best Of Beer Camp: Weizenbock - Beer Camp #37,6.8
Sierra Nevada Brewing Co.,4,4,4,American Double / Imperial Stout,4,Snowed In Stout - Beer Camp #45,9.2
Sierra Nevada Brewing Co.,4,4,4,Russian Imperial Stout,4,Empire Strikes Black Imperial Stout - Beer Camp #6,9.8
Sierra Nevada Brewing Co.,4,4,4,American Double / Imperial IPA,4.5,Best Of Beer Camp: Double IPA - Beer Camp #29,8.5
Evil Twin Brewing,4.5,4,4,American Double / Imperial IPA,4.5,Evil Twin Disco Beer,10.5
Sierra Nevada Brewing Co.,4,3.5,4,American Barleywine,4.5,Sierra Nevada Bigfoot Barleywine Style Ale,9.6
Sierra Nevada Brewing Co.,4,4,4,Baltic Porter,4,Philadelphia ExPorter - Beer Camp #25,5.8
Thisted Bryghus,5,4.5,4.5,Foreign / Export Stout,4.5,Limfjordsporter,7.9
Sierra Nevada Brewing Co.,4,5,4,American Barleywine,4.5,Sierra Nevada Barrel Aged Life And Limb,
Sierra Nevada Brewing Co.,5,5,4.5,American Double / Imperial IPA,5,Hopsichord - Beer Camp #36,9.7
Sierra Nevada Brewing Co.,4,4.5,3.5,Baltic Porter,4,Golden Ticket Baltic Porter - Beer Camp #14,7.3
Sierra Nevada Brewing Co.,4.5,4,4,American Black Ale,4,Brewer's Blackbird Black IPA - Beer Camp #27,8.7
Sierra Nevada Brewing Co.,4.5,3,3.5,Baltic Porter,4,Sierra Nevada Dark Forces Baltic Porter,8.4
Sierra Nevada Brewing Co.,4,4,4,American Barleywine,4,Sierra Nevada Bigfoot Barleywine Style Ale (Whiskey Barrel),12.3
Sierra Nevada Brewing Co.,4,4,4,American Black Ale,4,IDEA - India Dark Elusive Ale - Beer Camp #5,
Sierra Nevada Brewing Co.,4,3.5,5,American Black Ale,3.5,Hop Smack - Beer Camp #48,8.1
Sierra Nevada Brewing Co.,4.5,4,4,Quadrupel (Quad),4.5,Ovila Quad,10.4
Sierra Nevada Brewing Co.,4.5,4,4,American Double / Imperial Stout,4.5,30th Anniversary - Fritz And Ken's Ale,9.2
Coopers Brewery Limited,4,4,4,Foreign / Export Stout,4.5,Coopers Best Extra Stout,6.3
Sierra Nevada Brewing Co.,4,4,4,American Double / Imperial IPA,4,Ghidorah Double IPA - Beer Camp #29,8.2
Sierra Nevada Brewing Co.,4.5,4.5,4.5,American Double / Imperial IPA,4.5,Hoptimum Double IPA - Beer Camp #19,10.4
Sierra Nevada Brewing Co.,4,4,4,American Black Ale,4,Black Hop Rising,5.6
Brouwerij Strubbe,4,4,4,Flanders Red Ale,4,Ichtegem's Grand Cru,6.5
Sierra Nevada Brewing Co.,5,4.5,5,American Black Ale,4.5,India Ink - Beer Camp #42,7.7
Evil Twin Brewing,4,4,4,American Double / Imperial IPA,4.5,Evil Twin Yang,10
Sierra Nevada Brewing Co.,4.5,4.5,4.5,American Double / Imperial IPA,4,Handful Of Hops IPA - Beer Camp #10,8
Sierra Nevada Brewing Co.,4,4,3.5,American Double / Imperial Stout,4,30th Anniversary - Fritz And Ken's Ale Bourbon Barrel Aged,
Sierra Nevada Brewing Co.,4.5,4.5,4.5,American Double / Imperial Stout,4.5,Sierra Nevada Hellraiser Chocolate Chili Imperial Stout,10
Sierra Nevada Brewing Co.,4.5,4.5,4,American Wild Ale,4.5,Exportation,6.3
Birrificio Barley,4,4,4,American Barleywine,4,BB10,10
Kairinmaru Beer,4,4,4,Foreign / Export Stout,4,Yoru No Uragiri,7
Thisted Bryghus,4,4,4,Baltic Porter,4,TB Porter (6),7.5
Aztec Brewing Company,4,4,4,Baltic Porter,4,Eclipse,6.4
Aztec Brewing Company,4.5,4.5,4,Russian Imperial Stout,4.5,Noche De Los Muertos,10.2
BFM Brasserie Des Franches-Montagnes,4,4,4,American Double / Imperial Stout,4.5,Jurassian Imperial Stout (Cuvée Alex Le Rouge),10.28
Yak and Yeti,4,3.5,4,American Barleywine,3.5,Haunted Series Barleywine,11
Yak and Yeti,4.5,4.5,5,American Double / Imperial Stout,4.5,Haunted Series Russian Imperial Stout,10
"Jasper Murdock’s Alehouse, Dining Room & Microbrewery",4,4,4,Foreign / Export Stout,4,Ma Walkers Double Stout,7.17
Brouwerij Strubbe,4,4,4,Flanders Red Ale,4,Flemish Red Ale Grand Cru,6.5
Nørrebro Bryghus,4.5,4.5,4,American Barleywine,4.5,Little Korkny Ale (Bourbon Barrel),12
Nørrebro Bryghus,5,4.5,3.5,American Barleywine,4.5,Little Korkny Ale (Cognac Barrel),12
Nørrebro Bryghus,4,3.5,4,American Double / Imperial Stout,3.5,Seven Niepoort Barrel,12
Nørrebro Bryghus,4,4.5,4,American Double / Imperial Stout,4,Seven Bordeaux Barrel,12
Nørrebro Bryghus,4.5,4.5,4,American Wild Ale,4.5,Stevns CCC Vintage 2009,8.5
Nørrebro Bryghus,4,4.5,4,American Barleywine,4,Little Korkny Ale (Niepoort Port Barrel Aged),12.7
Otley Brewing Company Limited,4,4,4,American Black Ale,4,Oxymoron,5.5
Hale's Ales Brewery & Pub,4.5,4,3.5,American Double / Imperial IPA,4,Double Herberts Legendary Symposium Ale,8.2
Hale's Ales Brewery & Pub,4.5,5,4.5,American Double / Imperial IPA,5,Seattle Beer Week 2010 DIPA,8.3
Hale's Ales Brewery & Pub,4,3.5,4,American Double / Imperial IPA,3.5,Hale's Imperial IPA,
Hale's Ales Brewery & Pub,4,4,5,Russian Imperial Stout,4,Pikop Andropov's Rushin' Imperial Stout,8
Hale's Ales Brewery & Pub,4,3,4,Russian Imperial Stout,3,Moss Bay Stout,
Sonoma Springs Brewing Co.,4,3.5,4,American Wild Ale,3.5,Isis,5.6
